project_id,project_name,project_type,region,site,capacity,total_cost_usd,civil_cost,mechanical_cost,electrical_cost,automation_cost,contingency_pct,execution_year,country
P-2018-000,Processing System Project 000,Processing System,Europe,Warsaw Plant,370,89983321.48,12585593.6,34301977.62,11920950.98,4865025.02,0.163,2018,United Kingdom
P-2020-001,Plant Expansion Project 001,Plant Expansion,Europe,Ontario Plant,761,14318096.85,2179212.58,7698991.62,1719063.66,1710365.53,0.13,2020,Italy
P-2017-002,Packaging Line Project 002,Packaging Line,Europe,Iowa Plant,660,66774761.95,8012043.08,23994384.39,13214754.87,4426765.66,0.062,2017,Italy
P-2016-003,Plant Expansion Project 003,Plant Expansion,North America,Manchester Plant,931,60277444.04,10005696.5,29298545.33,9405688.76,3069842.66,0.172,2016,Canada
P-2015-004,Filling Line Project 004,Filling Line,North America,Ohio Plant,664,33860108.47,3524923.52,16478113.34,5715577.26,3667850.33,0.073,2015,Canada
P-2016-005,Plant Expansion Project 005,Plant Expansion,Europe,Le Havre Plant,487,42911640.52,5664628.44,19711121.18,5783989.5,5058034.72,0.151,2016,Poland
P-2016-006,Filling Line Project 006,Filling Line,Europe,Manchester Plant,369,89454463.54,10077410.01,41514814.18,14461811.57,10491402.12,0.16,2016,United Kingdom
P-2022-007,Processing System Project 007,Processing System,North America,Le Havre Plant,316,39464665.08,5298905.12,14924938.25,7268434.62,2179181.39,0.178,2022,Mexico
P-2023-008,Packaging Line Project 008,Packaging Line,Europe,Le Havre Plant,571,9576940.14,956585.39,4714424.91,1754629.93,885073.98,0.17,2023,Germany
P-2020-009,Plant Expansion Project 009,Plant Expansion,North America,Iowa Plant,939,58338475.5,5223686.11,24745060.73,10122151.38,5636346.43,0.127,2020,United States
P-2023-010,Processing System Project 010,Processing System,North America,Iowa Plant,838,21394555.55,3237519.97,10743426.04,3528008.76,2224342.79,0.114,2023,Canada
P-2019-011,Processing System Project 011,Processing System,North America,Ohio Plant,653,57205688.21,5730403.64,30270545.47,9040193.05,5115864.08,0.14,2019,Mexico
P-2023-012,Processing System Project 012,Processing System,North America,Warsaw Plant,754,92621727.52,9528906.34,33843607.08,13261589.71,5676367.97,0.171,2023,Mexico
P-2015-013,Packaging Line Project 013,Packaging Line,Europe,Manchester Plant,127,32465328.97,3949439.57,17098061.97,4738236.9,1900720.24,0.096,2015,Italy
P-2017-014,Packaging Line Project 014,Packaging Line,North America,Ontario Plant,732,99617653.78,16543808.43,35004689.81,16024474.29,7891588.02,0.079,2017,Mexico
P-2021-015,Filling Line Project 015,Filling Line,Europe,Le Havre Plant,926,44198728.39,5828886.85,21684063.74,6589604.69,5216543.68,0.175,2021,Italy
P-2015-016,Filling Line Project 016,Filling Line,North America,Iowa Plant,712,39902135.37,3339357.63,18830331.09,6392893.56,2138894.62,0.086,2015,Canada
P-2015-017,Packaging Line Project 017,Packaging Line,North America,Modena Plant,229,67464673.33,8418128.36,31072785.99,11294648.07,3755065.69,0.098,2015,United States
P-2020-018,Processing System Project 018,Processing System,Europe,Le Havre Plant,936,78818253.03,11298830.75,36032153.48,10027508.92,8549508.49,0.092,2020,Poland
P-2023-019,Plant Expansion Project 019,Plant Expansion,North America,Ontario Plant,759,44507397.38,4540827.37,21907872.05,8223190.47,3311644.96,0.063,2023,Canada
P-2017-020,Packaging Line Project 020,Packaging Line,Europe,Le Havre Plant,650,112913758.74,10585901.37,47222032.29,14574668.79,12954432.19,0.164,2017,France
P-2021-021,Processing System Project 021,Processing System,Europe,Le Havre Plant,445,118002854.45,15536679.34,47456716.49,23565204.96,13874699.47,0.123,2021,Germany
P-2022-022,Packaging Line Project 022,Packaging Line,North America,Ontario Plant,758,89307036.03,15156388.71,47102074.46,16288714.2,8479007.84,0.061,2022,United States
P-2016-023,Plant Expansion Project 023,Plant Expansion,Europe,Le Havre Plant,951,73036901.6,8561990.11,39295802.31,14453499.38,5103414.66,0.09,2016,Poland
P-2017-024,Filling Line Project 024,Filling Line,North America,Le Havre Plant,780,27703628.3,2266365.58,12432799.49,3720758.43,2095857.46,0.147,2017,Mexico
P-2020-025,Packaging Line Project 025,Packaging Line,Europe,Iowa Plant,787,18491574.0,2159290.32,7452852.74,2579929.08,2184053.47,0.101,2020,Italy
P-2018-026,Plant Expansion Project 026,Plant Expansion,North America,Ontario Plant,325,47208781.66,6822156.91,22838891.56,8928757.63,3121112.71,0.115,2018,Canada
P-2022-027,Processing System Project 027,Processing System,Europe,Iowa Plant,611,27836396.09,4844809.45,15053525.38,5377689.73,2113091.7,0.052,2022,Poland
P-2017-028,Packaging Line Project 028,Packaging Line,North America,Modena Plant,280,72096756.55,12835613.28,26320308.93,10414791.87,4568322.46,0.085,2017,Canada
P-2016-029,Plant Expansion Project 029,Plant Expansion,Europe,Iowa Plant,834,102551871.76,17741646.46,37337416.32,14020225.05,9945485.26,0.097,2016,France
P-2021-030,Filling Line Project 030,Filling Line,North America,Le Havre Plant,492,86678217.41,10050262.61,35426979.63,16013704.66,9249253.82,0.163,2021,Canada
P-2016-031,Packaging Line Project 031,Packaging Line,Europe,Warsaw Plant,119,80795960.25,12135285.61,41137952.66,15448222.13,5951403.04,0.099,2016,Germany
P-2020-032,Plant Expansion Project 032,Plant Expansion,North America,Bucharest Plant,953,44753098.76,4274107.18,24451669.01,8373961.76,4933059.04,0.083,2020,United States
P-2018-033,Processing System Project 033,Processing System,Europe,Ontario Plant,543,44584939.08,7257844.04,18026073.55,8793048.21,3656346.71,0.159,2018,France
P-2017-034,Filling Line Project 034,Filling Line,North America,Ontario Plant,922,23495546.35,2191536.33,12779400.9,4162649.75,1242320.58,0.102,2017,Mexico
P-2015-035,Plant Expansion Project 035,Plant Expansion,Europe,Bucharest Plant,445,10839283.26,1910584.55,5606034.21,1904222.92,852257.14,0.073,2015,United Kingdom
P-2019-036,Processing System Project 036,Processing System,Europe,Le Havre Plant,737,18513808.49,1819659.28,9940485.88,3167002.58,1595311.51,0.135,2019,Poland
P-2018-037,Filling Line Project 037,Filling Line,North America,Bucharest Plant,175,71396167.58,6844368.24,26704517.72,10520251.95,4028595.48,0.062,2018,Mexico
P-2020-038,Packaging Line Project 038,Packaging Line,Europe,Le Havre Plant,317,93496815.38,15024124.59,39199555.62,14695259.58,8927464.67,0.056,2020,Germany
P-2022-039,Packaging Line Project 039,Packaging Line,Europe,Ohio Plant,279,49956612.84,7123113.18,22511811.15,9417780.05,4801257.83,0.071,2022,Italy
P-2017-040,Plant Expansion Project 040,Plant Expansion,North America,Ohio Plant,596,105126280.56,15100376.76,53634362.25,18310208.8,9475630.14,0.067,2017,United States
P-2017-041,Processing System Project 041,Processing System,North America,Manchester Plant,934,99887806.5,14498563.0,39089781.75,14175766.87,6494828.88,0.099,2017,Mexico
P-2019-042,Filling Line Project 042,Filling Line,North America,Bucharest Plant,948,81440935.16,9653980.94,39606578.23,11992174.9,5558231.19,0.114,2019,Mexico
P-2017-043,Filling Line Project 043,Filling Line,North America,Ontario Plant,512,12388868.59,1508897.33,6733549.67,2029764.36,986686.24,0.124,2017,Canada
P-2021-044,Packaging Line Project 044,Packaging Line,North America,Le Havre Plant,647,49666025.61,7829416.65,20768380.43,9658084.45,5467677.76,0.106,2021,United States
P-2023-045,Packaging Line Project 045,Packaging Line,North America,Iowa Plant,897,109085925.55,14238466.31,56211049.47,15883343.62,12292524.89,0.101,2023,Mexico
P-2023-046,Processing System Project 046,Processing System,Europe,Iowa Plant,554,115161699.13,17006733.14,51420181.18,18361617.69,6429467.16,0.062,2023,France
P-2019-047,Plant Expansion Project 047,Plant Expansion,North America,Warsaw Plant,583,113973788.8,18022630.21,42477224.2,22164976.04,13471402.61,0.179,2019,Mexico
P-2022-048,Processing System Project 048,Processing System,North America,Warsaw Plant,334,87053126.19,15396668.09,42447626.83,16275200.88,9635110.47,0.159,2022,Mexico
P-2018-049,Filling Line Project 049,Filling Line,North America,Ohio Plant,894,87099129.44,7676471.15,31962553.51,17326731.4,6636862.71,0.098,2018,Mexico
P-2017-050,Packaging Line Project 050,Packaging Line,North America,Bucharest Plant,316,74291538.75,8545148.34,36524412.71,11777687.19,5680266.52,0.142,2017,Mexico
P-2015-051,Processing System Project 051,Processing System,Europe,Ontario Plant,272,9271608.21,1176252.44,3349467.26,1200723.64,539856.42,0.134,2015,United Kingdom
P-2019-052,Processing System Project 052,Processing System,North America,Manchester Plant,289,52824964.0,6749524.31,19364483.62,8571886.29,4254707.92,0.154,2019,Canada
P-2015-053,Plant Expansion Project 053,Plant Expansion,Europe,Warsaw Plant,302,110940960.11,11681974.02,54259251.57,13982417.7,6837854.98,0.078,2015,France
P-2019-054,Packaging Line Project 054,Packaging Line,Europe,Modena Plant,358,108929697.17,9209421.82,44246441.04,21353806.47,12234816.37,0.109,2019,France
P-2020-055,Plant Expansion Project 055,Plant Expansion,Europe,Manchester Plant,775,59934221.35,6912526.77,27973172.39,7564823.76,7084682.65,0.178,2020,United Kingdom
P-2019-056,Processing System Project 056,Processing System,North America,Iowa Plant,823,75511570.79,8086969.38,28440453.38,9521709.32,8747051.03,0.104,2019,Canada
P-2015-057,Processing System Project 057,Processing System,North America,Ohio Plant,109,112465590.14,18737485.85,40380065.43,13733101.0,8587021.74,0.155,2015,United States
P-2019-058,Processing System Project 058,Processing System,North America,Ohio Plant,162,52014818.29,8474068.09,24125320.24,6506062.7,2734810.71,0.067,2019,Mexico
P-2017-059,Plant Expansion Project 059,Plant Expansion,North America,Modena Plant,575,99044913.02,17825288.04,54408081.33,16286404.36,10283746.07,0.173,2017,Mexico
P-2022-060,Packaging Line Project 060,Packaging Line,North America,Modena Plant,556,22465854.5,3940625.52,10586695.3,3106835.02,2179615.81,0.13,2022,Mexico
P-2023-061,Processing System Project 061,Processing System,Europe,Ohio Plant,773,61335598.04,10006114.6,25242999.53,11366152.35,7222767.39,0.061,2023,Italy
P-2016-062,Packaging Line Project 062,Packaging Line,Europe,Bucharest Plant,402,55100007.21,8731523.28,26330765.6,10160638.22,6238454.45,0.13,2016,Germany
P-2021-063,Filling Line Project 063,Filling Line,Europe,Ohio Plant,949,51931333.05,6426372.23,27566799.83,7678589.62,4465017.81,0.152,2021,Poland
P-2020-064,Filling Line Project 064,Filling Line,North America,Iowa Plant,232,97204838.88,12241460.36,50392765.67,17643982.68,5310933.97,0.056,2020,Canada
P-2020-065,Packaging Line Project 065,Packaging Line,Europe,Warsaw Plant,225,78940895.68,8211002.68,28827057.3,10286817.94,4654608.51,0.07,2020,Germany
P-2017-066,Plant Expansion Project 066,Plant Expansion,Europe,Manchester Plant,459,86008164.22,10421275.67,45142547.9,13866140.28,10159088.64,0.128,2017,Poland
P-2016-067,Processing System Project 067,Processing System,North America,Warsaw Plant,565,39202117.97,3830088.03,14416206.73,5082588.69,3224551.15,0.077,2016,Canada
P-2015-068,Packaging Line Project 068,Packaging Line,Europe,Ohio Plant,912,44017269.64,3927619.53,19641785.69,7704024.79,3777385.61,0.07,2015,United Kingdom
P-2021-069,Filling Line Project 069,Filling Line,Europe,Iowa Plant,107,91805085.32,9038403.62,35975646.36,13737508.08,7703971.45,0.13,2021,France
P-2016-070,Filling Line Project 070,Filling Line,Europe,Ohio Plant,464,14982232.6,1419924.75,5642659.17,2621489.79,1634724.09,0.147,2016,Italy
P-2023-071,Filling Line Project 071,Filling Line,Europe,Ontario Plant,982,35156696.41,3759105.97,14957656.7,4275254.53,2550461.58,0.077,2023,United Kingdom
P-2022-072,Packaging Line Project 072,Packaging Line,North America,Manchester Plant,124,84059459.74,13358487.58,37800567.3,10671652.97,7363394.99,0.126,2022,Canada
P-2020-073,Plant Expansion Project 073,Plant Expansion,North America,Manchester Plant,694,50422534.11,5735295.18,26720387.25,8501462.01,3383590.08,0.115,2020,United States
P-2022-074,Packaging Line Project 074,Packaging Line,North America,Iowa Plant,536,19399636.93,1848512.13,7744171.05,2577329.26,1223335.12,0.087,2022,Mexico
P-2018-075,Processing System Project 075,Processing System,North America,Bucharest Plant,998,66745275.63,8078826.98,36474672.78,8607678.47,5196112.49,0.176,2018,Canada
P-2019-076,Processing System Project 076,Processing System,Europe,Modena Plant,980,62963863.28,9588742.16,32374274.06,11174611.22,5506351.74,0.112,2019,Germany
P-2019-077,Filling Line Project 077,Filling Line,Europe,Modena Plant,935,55648881.13,7276705.45,22175074.47,7189109.0,5161066.61,0.088,2019,Germany
P-2016-078,Filling Line Project 078,Filling Line,North America,Bucharest Plant,967,43911925.52,6120809.08,18611898.21,6865253.57,3881911.62,0.121,2016,Canada
P-2015-079,Packaging Line Project 079,Packaging Line,Europe,Ohio Plant,695,36519753.33,5410411.4,18334580.45,6122576.79,3031516.89,0.104,2015,Italy
P-2020-080,Packaging Line Project 080,Packaging Line,Europe,Manchester Plant,335,53754048.81,9315243.74,29467211.37,7332060.04,4114657.47,0.17,2020,Poland
P-2018-081,Plant Expansion Project 081,Plant Expansion,Europe,Warsaw Plant,939,100729379.36,15618109.66,51362658.57,18736733.72,6350821.07,0.081,2018,France
P-2015-082,Packaging Line Project 082,Packaging Line,North America,Ohio Plant,188,84493991.1,10578213.4,41634962.56,16220598.38,7915997.68,0.12,2015,United States
P-2017-083,Packaging Line Project 083,Packaging Line,North America,Iowa Plant,602,67568037.73,5855575.29,26743772.45,11042505.54,5419427.58,0.093,2017,Mexico
P-2015-084,Plant Expansion Project 084,Plant Expansion,Europe,Le Havre Plant,599,96930821.2,13764881.84,44267551.76,18563357.91,10197297.33,0.07,2015,Italy
P-2018-085,Packaging Line Project 085,Packaging Line,North America,Ontario Plant,388,11755632.69,1610392.0,5907108.29,2235230.71,869278.75,0.157,2018,Mexico
P-2017-086,Packaging Line Project 086,Packaging Line,Europe,Manchester Plant,795,64256294.92,8609448.02,28740009.18,9812990.95,6684694.08,0.052,2017,United Kingdom
P-2022-087,Processing System Project 087,Processing System,Europe,Manchester Plant,893,36201494.6,4147590.73,13985344.86,6975160.8,3288450.57,0.102,2022,Germany
P-2015-088,Filling Line Project 088,Filling Line,Europe,Iowa Plant,722,89322705.64,12442321.56,33088929.32,17283947.27,9406210.1,0.053,2015,Italy
P-2018-089,Plant Expansion Project 089,Plant Expansion,North America,Ohio Plant,150,90481754.39,15692857.03,48418026.61,14121229.51,5241306.11,0.178,2018,Mexico
P-2018-090,Filling Line Project 090,Filling Line,North America,Iowa Plant,100,105428392.55,13904297.64,49367381.14,16016704.2,5675559.84,0.094,2018,Canada
P-2015-091,Packaging Line Project 091,Packaging Line,North America,Ohio Plant,902,52594893.68,7034017.95,28084154.46,7768669.7,3907102.36,0.146,2015,Mexico
P-2020-092,Plant Expansion Project 092,Plant Expansion,North America,Ontario Plant,975,110227939.84,11554384.13,51314015.0,14686888.14,5772807.09,0.09,2020,Mexico
P-2022-093,Filling Line Project 093,Filling Line,Europe,Ohio Plant,568,65699452.43,11665209.22,29025873.39,10813106.9,7242986.28,0.12,2022,Germany
P-2022-094,Packaging Line Project 094,Packaging Line,North America,Iowa Plant,835,15512565.47,2404386.33,6080632.76,2975997.93,998385.22,0.075,2022,Mexico
P-2018-095,Processing System Project 095,Processing System,Europe,Iowa Plant,689,87974630.38,11679931.83,40194832.53,13942838.4,7459442.49,0.149,2018,Germany
P-2016-096,Packaging Line Project 096,Packaging Line,Europe,Warsaw Plant,154,113964931.76,13371611.62,46058805.76,19547260.93,8958941.92,0.053,2016,Germany
P-2019-097,Processing System Project 097,Processing System,North America,Le Havre Plant,932,69792930.67,7355397.15,27164987.33,11197621.79,6396761.39,0.094,2019,Mexico
P-2018-098,Processing System Project 098,Processing System,North America,Iowa Plant,703,34676471.48,3118945.38,13823235.73,6164830.07,3810900.97,0.158,2018,Canada
P-2017-099,Plant Expansion Project 099,Plant Expansion,North America,Modena Plant,568,53515938.53,6015138.3,19660953.24,9132990.57,5432580.75,0.16,2017,United States
P-2024-100,Processing System Project 100,Processing System,North America,Iowa Plant,710,24026054.63,3098879.34,10831249.61,3987947.22,2426567.85,0.114,2024,Mexico
P-2024-101,Filling Line Project 101,Filling Line,Europe,Ontario Plant,1130,33716603.87,4570088.71,17249725.56,4433868.29,2918140.45,0.063,2024,United Kingdom
P-2024-102,Processing System Project 102,Processing System,Europe,Le Havre Plant,432,152246745.15,19508899.07,58298786.78,29125964.26,18406082.48,0.128,2024,Poland
P-2024-103,Packaging Line Project 103,Packaging Line,North America,Modena Plant,596,25686669.23,4199027.99,11012040.31,3623266.25,2648409.91,0.128,2024,United States
P-2024-104,Processing System Project 104,Processing System,Europe,Iowa Plant,678,38313623.23,5571194.49,18599365.31,6583299.55,2608015.44,0.065,2024,Italy
P-2024-105,Plant Expansion Project 105,Plant Expansion,Europe,Ontario Plant,846,53043706.1,6323173.91,25813111.24,10612086.22,4222486.66,0.053,2024,Italy
